task_id,model_id,label,category,task_prefix,text,response,tool_call,entity_diff
"dom1_pl_lights_lights-dining_room_light_off","qwen2.5-14b","Good","light","dom1_pl_lights_lights","Dining room light off","The Dining Room light has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Dining Room', 'domain': ['light'], 'name': 'Dining Room Light'}}","{}"
"dom1_pl_lights_lights-kitchen_light_off","qwen2.5-14b","Good","light","dom1_pl_lights_lights","Kitchen light off","The kitchen light is now off.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'name': 'Kitchen Light'}}","{}"
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light","qwen2.5-14b","Good","light","dom1_pl_lights_lights","Please turn on the kitchen light","The kitchen light is now on.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Kitchen', 'domain': ['light'], 'name': 'Kitchen Light'}}","{}"
"dom1_pl_lights_lights-turn_on_the_backyard_light","qwen2.5-14b","Good","light","dom1_pl_lights_lights","Turn on the Backyard light","The Backyard light is now on.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Backyard', 'domain': ['light']}}","{}"
"dom1_pl_lights_lights-turn_on_the_living_room_light","qwen2.5-14b","Good","light","dom1_pl_lights_lights","Turn on the living room light","The living room light is now on.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'name': 'Living Room Light'}}","{}"
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list","qwen2.5-14b","Good","todo","dom1_pl_todo_todo","Add clean the kitchen to my todo list","I've added 'clean the kitchen' to your Personal Tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks","qwen2.5-14b","Good","todo","dom1_pl_todo_todo","Add history homework to my personal tasks","Your history homework has been added to your personal tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo_todo-add_history_homework_to_my_tasks","qwen2.5-14b","Good","todo","dom1_pl_todo_todo","Add history homework to my tasks","Your history homework has been added to your tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list","qwen2.5-14b","Good","todo","dom1_pl_todo_todo","Put history homework on personal tasks todo list","Your history homework has been added to the personal tasks todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","{}"
"home1_us_cover_garage_cover_garage-close_the_garage_door","qwen2.5-14b","Good","cover","home1_us_cover_garage_cover_garage","Close the garage door","The garage door is now closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'name': 'Garage Door Opener'}}","{}"
